rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.7834,0.0,0.7821124999999999,0.0,4.079395055770874,0.0,0.0291440486907959,0.0,1,0.01,"{'model__C': 1, 'model__tol': 0.01}",0.7834,0.7821124999999999
1,0.7834,0.0,0.78211875,0.0,4.178906202316284,0.0,0.025795698165893555,0.0,10,0.01,"{'model__C': 10, 'model__tol': 0.01}",0.7834,0.78211875
1,0.7834,0.0,0.78211875,0.0,3.5984020233154297,0.0,0.024178028106689453,0.0,100,0.01,"{'model__C': 100, 'model__tol': 0.01}",0.7834,0.78211875
4,0.7833750000000002,0.0,0.7821375,0.0,5.337476015090942,0.0,0.03125190734863281,0.0,100,1e-06,"{'model__C': 100, 'model__tol': 1e-06}",0.7833750000000002,0.7821375
4,0.7833750000000002,0.0,0.7821375,0.0,5.409285068511963,0.0,0.028599977493286133,0.0,100,1e-05,"{'model__C': 100, 'model__tol': 1e-05}",0.7833750000000002,0.7821375
4,0.7833750000000002,0.0,0.7821375,0.0,5.083097219467163,0.0,0.027590036392211914,0.0,100,0.0001,"{'model__C': 100, 'model__tol': 0.0001}",0.7833750000000002,0.7821375
4,0.7833750000000002,0.0,0.7821375,0.0,4.596811056137085,0.0,0.03205513954162598,0.0,100,0.001,"{'model__C': 100, 'model__tol': 0.001}",0.7833750000000002,0.7821375
8,0.78335,0.0,0.7820500000000001,0.0,5.241153001785278,0.0,0.026128053665161133,0.0,0.1,1e-06,"{'model__C': 0.1, 'model__tol': 1e-06}",0.78335,0.7820500000000001
8,0.78335,0.0,0.7820500000000001,0.0,5.2919228076934814,0.0,0.03327322006225586,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.78335,0.7820500000000001
8,0.78335,0.0,0.7820500000000001,0.0,5.280065059661865,0.0,0.02599191665649414,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.78335,0.7820500000000001
8,0.78335,0.0,0.7820500000000001,0.0,4.837705135345459,0.0,0.03644990921020508,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.78335,0.7820500000000001
8,0.78335,0.0,0.7821312499999998,0.0,5.092935085296631,0.0,0.02954697608947754,0.0,1,1e-06,"{'model__C': 1, 'model__tol': 1e-06}",0.78335,0.7821312499999998
8,0.78335,0.0,0.7821312499999998,0.0,5.077641010284424,0.0,0.025495052337646484,0.0,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.78335,0.7821312499999998
8,0.78335,0.0,0.7821312499999998,0.0,5.027424097061157,0.0,0.025107860565185547,0.0,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.78335,0.7821312499999998
8,0.78335,0.0,0.7821312499999998,0.0,4.549622058868408,0.0,0.027079105377197266,0.0,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.78335,0.7821312499999998
8,0.78335,0.0,0.7821375,0.0,5.004174709320068,0.0,0.0276339054107666,0.0,10,1e-06,"{'model__C': 10, 'model__tol': 1e-06}",0.78335,0.7821375
8,0.78335,0.0,0.7821375,0.0,5.302670955657959,0.0,0.03347301483154297,0.0,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.78335,0.7821375
8,0.78335,0.0,0.7821375,0.0,5.432905197143555,0.0,0.02919793128967285,0.0,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.78335,0.7821375
8,0.78335,0.0,0.7821375,0.0,4.592214107513428,0.0,0.03277587890625,0.0,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.78335,0.7821375
20,0.7833249999999999,0.0,0.78206875,0.0,4.536302804946899,0.0,0.029545307159423828,0.0,0.1,0.01,"{'model__C': 0.1, 'model__tol': 0.01}",0.7833249999999999,0.78206875
21,0.7827250000000001,0.0,0.78145625,0.0,17.14558482170105,0.0,0.10688209533691406,0.0,0.01,1e-06,"{'model__C': 0.01, 'model__tol': 1e-06}",0.7827250000000001,0.78145625
21,0.7827250000000001,0.0,0.78145625,0.0,17.163296222686768,0.0,0.08910083770751953,0.0,0.01,1e-05,"{'model__C': 0.01, 'model__tol': 1e-05}",0.7827250000000001,0.78145625
21,0.7827250000000001,0.0,0.7814625,0.0,4.498960018157959,0.0,0.03469681739807129,0.0,0.01,0.0001,"{'model__C': 0.01, 'model__tol': 0.0001}",0.7827250000000001,0.7814625
21,0.7827250000000001,0.0,0.7814625,0.0,4.477747917175293,0.0,0.03192591667175293,0.0,0.01,0.001,"{'model__C': 0.01, 'model__tol': 0.001}",0.7827250000000001,0.7814625
25,0.7827,0.0,0.7814937499999999,0.0,4.227187871932983,0.0,0.034104108810424805,0.0,0.01,0.01,"{'model__C': 0.01, 'model__tol': 0.01}",0.7827,0.7814937499999999
